Threads,GC,Milliseconds,Throughput1,Throughput2
1,G1GC,11054,0.09046007996671068,5.4/min
1,ZGC,11097,0.0901079493232893,5.4/min
1,Shenandoah,11499,0.08695803405276613,5.2/min
2,G1GC,5651,0.1769598301185631,10.6/min
2,ZGC,5766,0.17341842397336293,10.4/min
2,Shenandoah,5908,0.1692333728211203,10.2/min
4,G1GC,3132,0.3192032686414709,19.2/min
4,ZGC,3401,0.29404845918607386,17.6/min
4,Shenandoah,3286,0.3042658066086533,18.3/min
6,G1GC,2421,0.4129842240026431,24.8/min
6,ZGC,2875,0.3477777004938443,20.9/min
6,Shenandoah,2594,0.3854158637169506,23.1/min
8,G1GC,2193,0.45599635202918376,27.4/min
8,ZGC,2694,0.37111259556149334,22.3/min
8,Shenandoah,2448,0.4084967320261438,24.5/min
12,G1GC,2610,0.3830243603493182,23.0/min
12,ZGC,3202,0.3122462998813464,18.7/min
12,Shenandoah,2743,0.3644846187490888,21.9/min
16,G1GC,2898,0.3450179409329285,20.7/min
16,ZGC,3374,0.29633141705683635,17.8/min
16,Shenandoah,3005,0.33277870216306155,20.0/min
24,G1GC,2987,0.3347168295621904,20.1/min
24,ZGC,3517,0.2843170703969067,17.1/min
24,Shenandoah,3034,0.3295110056675893,19.8/min
32,G1GC,2998,0.33344448149383127,20.0/min
32,ZGC,3635,0.27504263160789927,16.5/min
32,Shenandoah,3130,0.31942758576630675,19.2/min
48,G1GC,2990,0.3343363423604146,20.1/min
48,ZGC,3684,0.2713851498046027,16.3/min
48,Shenandoah,3206,0.31185679535957084,18.7/min
64,G1GC,3096,0.32291397571686903,19.4/min
64,ZGC,3816,0.261972126165776,15.7/min
64,Shenandoah,3294,0.30360070435363407,18.2/min
