GC;Version;Latencia
G1GC;Serial;98.0
ZGC;Serial;99.0
ShenandoahGC;Serial;102.0
G1GC;Threads;21.6
ZGC;Threads;44.6
ShenandoahGC;Threads;49.3
G1GC;Executor;24.7
ZGC;Executor;45.2
ShenandoahGC;Executor;38.0
G1GC;Atomic;22.2
ZGC;Atomic;44.8
ShenandoahGC;Atomic;38.6
G1GC;ForkJoin;21.9
ZGC;ForkJoin;44.9
ShenandoahGC;ForkJoin;38.1
G1GC;Stream;19.2
ZGC;Stream;51.5
ShenandoahGC;Stream;43.8
G1GC;CompletableFuture;36.0
ZGC;CompletableFuture;43.4
ShenandoahGC;CompletableFuture;37.3
G1GC;Collections;27.7
ZGC;Collections;45.6
ShenandoahGC;Collections;38.8
G1GC;Loom;19.6
ZGC;Loom;44.0
ShenandoahGC;Loom;--
